[['Minnesota Timberwolves', 0.38, 25.0, 26.0, 0.842], ['Los Angeles Lakers', 0.449, 18.0, 14.0, 0.75], 0]
[['Milwaukee Bucks', 0.493, 17.0, 7.0, 0.667], ['Atlanta Hawks', 0.517, 12.0, 11.0, 0.714], 1]
[['Utah Jazz', 0.43, 21.0, 18.0, 0.56], ['Orlando Magic', 0.5, 14.0, 6.0, 0.893], 1]
[['Charlotte Bobcats', 0.457, 17.0, 14.0, 0.76], ['Toronto Raptors', 0.493, 16.0, 8.0, 0.818], 1]
[['Houston Rockets', 0.391, 14.0, 10.0, 0.895], ['Washington Wizards', 0.443, 17.0, 16.0, 0.636], 0]
[['New Jersey Nets', 0.415, 8.0, 15.0, 0.543], ['Cleveland Cavaliers', 0.442, 11.0, 7.0, 0.727], 1]
[['Golden State Warriors', 0.468, 20.0, 9.0, 0.884], ['New York Knicks', 0.528, 14.0, 9.0, 0.719], 1]
[['Dallas Mavericks', 0.452, 12.0, 12.0, 0.579], ['Memphis Grizzlies', 0.541, 9.0, 11.0, 0.455], 1]
[['Philadelphia 76ers', 0.481, 16.0, 12.0, 0.741], ['Oklahoma City Thunder', 0.493, 14.0, 5.0, 0.946], 0]
[['Los Angeles Clippers', 0.465, 14.0, 13.0, 0.571], ['San Antonio Spurs', 0.493, 16.0, 10.0, 0.867], 0]
[['Minnesota Timberwolves', 0.444, 19.0, 8.0, 0.625], ['Sacramento Kings', 0.471, 15.0, 12.0, 0.6], 1]
[['Golden State Warriors', 0.411, 19.0, 18.0, 0.714], ['Chicago Bulls', 0.548, 12.0, 11.0, 0.913], 0]
[['Boston Celtics', 0.5, 14.0, 11.0, 0.78], ['Miami Heat', 0.544, 10.0, 9.0, 0.68], 1]
[['Los Angeles Lakers', 0.408, 10.0, 18.0, 0.767], ['Denver Nuggets', 0.489, 10.0, 11.0, 0.806], 0]
[['Utah Jazz', 0.429, 9.0, 15.0, 0.737], ['Atlanta Hawks', 0.493, 15.0, 11.0, 0.524], 1]
[['Houston Rockets', 0.449, 15.0, 11.0, 0.769], ['Indiana Pacers', 0.5, 15.0, 9.0, 0.68], 1]
[['Toronto Raptors', 0.5, 15.0, 12.0, 0.774], ['Orlando Magic', 0.527, 16.0, 7.0, 0.552], 1]
[['Charlotte Bobcats', 0.419, 12.0, 13.0, 0.8], ['Washington Wizards', 0.493, 22.0, 16.0, 0.75], 1]
[['New York Knicks', 0.38, 13.0, 11.0, 0.88], ['Minnesota Timberwolves', 0.436, 14.0, 17.0, 0.762], 0]
[['Philadelphia 76ers', 0.443, 10.0, 16.0, 0.793], ['Dallas Mavericks', 0.446, 13.0, 14.0, 0.609], 0]
[['Sacramento Kings', 0.409, 11.0, 21.0, 0.632], ['Phoenix Suns', 0.519, 11.0, 13.0, 0.63], 0]
[['Portland Trail Blazers', 0.539, 15.0, 11.0, 0.792], ['Oklahoma City Thunder', 0.548, 12.0, 9.0, 0.923], 0]
[['Detroit Pistons', 0.463, 21.0, 12.0, 0.763], ['Los Angeles Clippers', 0.476, 11.0, 7.0, 0.667], 1]
[['Utah Jazz', 0.443, 8.0, 13.0, 0.708], ['Charlotte Bobcats', 0.443, 9.0, 11.0, 0.759], 1]
[['Orlando Magic', 0.416, 9.0, 13.0, 0.731], ['New Jersey Nets', 0.493, 12.0, 2.0, 0.8], 1]
[['Indiana Pacers', 0.386, 12.0, 11.0, 0.826], ['Cleveland Cavaliers', 0.456, 13.0, 7.0, 1.0], 1]
[['Toronto Raptors', 0.451, 11.0, 13.0, 0.724], ['Miami Heat', 0.506, 9.0, 11.0, 0.722], 0]
[['Washington Wizards', 0.447, 14.0, 12.0, 0.765], ['Chicago Bulls', 0.449, 23.0, 17.0, 0.5], 0]
[['Boston Celtics', 0.53, 17.0, 9.0, 0.833], ['Memphis Grizzlies', 0.577, 14.0, 3.0, 0.731], 1]
[['Portland Trail Blazers', 0.407, 13.0, 13.0, 0.895], ['New Orleans Hornets', 0.481, 11.0, 10.0, 0.926], 0]
[['Golden State Warriors', 0.337, 18.0, 19.0, 0.81], ['Milwaukee Bucks', 0.341, 15.0, 11.0, 0.6], 0]
[['Philadelphia 76ers', 0.415, 15.0, 8.0, 0.875], ['San Antonio Spurs', 0.482, 13.0, 10.0, 0.839], 0]
[['Minnesota Timberwolves', 0.45, 15.0, 15.0, 0.872], ['Atlanta Hawks', 0.474, 21.0, 12.0, 0.742], 0]
[['Detroit Pistons', 0.453, 12.0, 18.0, 0.667], ['Sacramento Kings', 0.539, 12.0, 9.0, 0.789], 1]
[['San Antonio Spurs', 0.409, 12.0, 13.0, 0.895], ['Oklahoma City Thunder', 0.452, 12.0, 5.0, 0.8], 1]
[['Houston Rockets', 0.437, 12.0, 9.0, 0.708], ['New York Knicks', 0.45, 14.0, 11.0, 0.722], 1]
[['Phoenix Suns', 0.49, 18.0, 20.0, 0.765], ['Los Angeles Lakers', 0.512, 12.0, 10.0, 0.684], 1]
[['Minnesota Timberwolves', 0.462, 10.0, 9.0, 0.652], ['Charlotte Bobcats', 0.521, 16.0, 8.0, 0.75], 0]
[['Memphis Grizzlies', 0.363, 18.0, 15.0, 0.55], ['Orlando Magic', 0.438, 19.0, 9.0, 0.794], 0]
[['New Orleans Hornets', 0.442, 13.0, 12.0, 0.667], ['Dallas Mavericks', 0.493, 15.0, 8.0, 0.704], 0]
[['Denver Nuggets', 0.416, 16.0, 11.0, 0.68], ['Phoenix Suns', 0.427, 10.0, 9.0, 0.8], 0]
[['Oklahoma City Thunder', 0.506, 12.0, 12.0, 0.818], ['Utah Jazz', 0.507, 12.0, 14.0, 0.971], 1]
[['Detroit Pistons', 0.424, 12.0, 14.0, 0.815], ['Golden State Warriors', 0.446, 16.0, 9.0, 0.667], 0]
[['New Jersey Nets', 0.395, 12.0, 17.0, 0.737], ['Los Angeles Clippers', 0.597, 12.0, 9.0, 0.947], 1]
[['Philadelphia 76ers', 0.43, 15.0, 9.0, 0.864], ['Cleveland Cavaliers', 0.463, 7.0, 3.0, 0.76], 0]
[['Atlanta Hawks', 0.443, 15.0, 12.0, 0.867], ['Indiana Pacers', 0.5, 9.0, 5.0, 0.87], 1]
[['Toronto Raptors', 0.407, 13.0, 15.0, 0.769], ['Washington Wizards', 0.563, 16.0, 11.0, 0.684], 0]
[['Portland Trail Blazers', 0.46, 13.0, 12.0, 0.867], ['Memphis Grizzlies', 0.48, 18.0, 10.0, 0.741], 1]
[['Los Angeles Lakers', 0.461, 13.0, 19.0, 0.593], ['Milwaukee Bucks', 0.538, 13.0, 8.0, 0.828], 1]
[['Chicago Bulls', 0.479, 19.0, 11.0, 0.76], ['Houston Rockets', 0.486, 19.0, 14.0, 0.536], 1]
[['New York Knicks', 0.439, 11.0, 15.0, 0.697], ['Denver Nuggets', 0.488, 13.0, 10.0, 0.66], 0]
[['Phoenix Suns', 0.444, 17.0, 6.0, 0.73], ['Miami Heat', 0.547, 11.0, 9.0, 0.88], 0]
[['Toronto Raptors', 0.368, 13.0, 16.0, 0.75], ['Philadelphia 76ers', 0.466, 13.0, 6.0, 0.828], 1]
[['Washington Wizards', 0.388, 16.0, 18.0, 0.75], ['Boston Celtics', 0.658, 14.0, 11.0, 0.462], 0]
[['Los Angeles Lakers', 0.393, 5.0, 11.0, 0.762], ['Detroit Pistons', 0.446, 12.0, 13.0, 0.917], 1]
[['Los Angeles Clippers', 0.483, 16.0, 15.0, 0.76], ['Minnesota Timberwolves', 0.534, 14.0, 5.0, 0.893], 0]
[['Dallas Mavericks', 0.488, 9.0, 7.0, 0.688], ['New Orleans Hornets', 0.507, 15.0, 4.0, 0.87], 0]
[['Houston Rockets', 0.468, 17.0, 12.0, 0.71], ['Oklahoma City Thunder', 0.5, 8.0, 13.0, 0.862], 0]
[['New Jersey Nets', 0.376, 14.0, 16.0, 0.8], ['Utah Jazz', 0.402, 5.0, 9.0, 0.838], 0]
[['Chicago Bulls', 0.424, 11.0, 12.0, 0.714], ['San Antonio Spurs', 0.482, 13.0, 12.0, 0.682], 0]
[['New York Knicks', 0.449, 14.0, 17.0, 0.846], ['Sacramento Kings', 0.521, 18.0, 10.0, 0.846], 1]
[['Los Angeles Clippers', 0.333, 12.0, 13.0, 0.727], ['Indiana Pacers', 0.506, 14.0, 6.0, 0.75], 0]
[['Phoenix Suns', 0.456, 18.0, 10.0, 0.727], ['Orlando Magic', 0.541, 17.0, 13.0, 0.652], 0]
[['Denver Nuggets', 0.385, 17.0, 7.0, 0.821], ['Portland Trail Blazers', 0.4, 12.0, 16.0, 0.5], 0]
[['Oklahoma City Thunder', 0.431, 18.0, 6.0, 0.844], ['Boston Celtics', 0.485, 14.0, 3.0, 0.63], 1]
[['Milwaukee Bucks', 0.338, 14.0, 13.0, 0.871], ['Philadelphia 76ers', 0.405, 15.0, 9.0, 0.857], 0]
[['Houston Rockets', 0.436, 15.0, 7.0, 0.909], ['Toronto Raptors', 0.488, 14.0, 11.0, 0.667], 0]
[['Memphis Grizzlies', 0.378, 15.0, 16.0, 0.857], ['Washington Wizards', 0.439, 19.0, 14.0, 0.556], 0]
[['Charlotte Bobcats', 0.425, 12.0, 10.0, 0.815], ['Miami Heat', 0.465, 14.0, 2.0, 0.773], 0]
[['Los Angeles Lakers', 0.396, 17.0, 16.0, 0.81], ['Minnesota Timberwolves', 0.471, 15.0, 7.0, 0.846], 1]
[['Cleveland Cavaliers', 0.349, 13.0, 14.0, 0.941], ['New Orleans Hornets', 0.459, 9.0, 8.0, 0.767], 0]
[['San Antonio Spurs', 0.419, 14.0, 5.0, 0.739], ['Utah Jazz', 0.439, 13.0, 16.0, 0.708], 1]
[['Chicago Bulls', 0.4, 8.0, 9.0, 0.72], ['Dallas Mavericks', 0.447, 16.0, 20.0, 0.652], 1]
[['New Jersey Nets', 0.429, 15.0, 18.0, 0.696], ['Sacramento Kings', 0.457, 15.0, 13.0, 0.789], 0]
[['New York Knicks', 0.516, 10.0, 10.0, 0.706], ['Golden State Warriors', 0.571, 18.0, 12.0, 0.844], 1]
[['Phoenix Suns', 0.459, 13.0, 7.0, 0.821], ['Charlotte Bobcats', 0.575, 14.0, 8.0, 0.737], 0]
[['Orlando Magic', 0.393, 13.0, 16.0, 0.579], ['Indiana Pacers', 0.449, 16.0, 5.0, 0.679], 1]
[['Dallas Mavericks', 0.476, 13.0, 10.0, 0.875], ['Atlanta Hawks', 0.481, 12.0, 7.0, 0.8], 1]
[['Miami Heat', 0.475, 12.0, 14.0, 0.741], ['Memphis Grizzlies', 0.481, 6.0, 6.0, 0.75], 0]
[['Oklahoma City Thunder', 0.37, 14.0, 7.0, 0.8], ['Milwaukee Bucks', 0.372, 15.0, 13.0, 0.741], 1]
[['Cleveland Cavaliers', 0.475, 16.0, 9.0, 0.611], ['San Antonio Spurs', 0.531, 9.0, 6.0, 0.818], 0]
[['New Jersey Nets', 0.404, 6.0, 13.0, 0.806], ['Denver Nuggets', 0.475, 7.0, 9.0, 0.75], 0]
[['Utah Jazz', 0.38, 18.0, 24.0, 0.909], ['Portland Trail Blazers', 0.48, 18.0, 6.0, 1.0], 1]
