[['Washington Wizards', 0.361, 13.0, 16.0, 0.656], ['Toronto Raptors', 0.438, 13.0, 10.0, 0.774], 0]
[['Memphis Grizzlies', 0.42, 8.0, 9.0, 0.824], ['Oklahoma City Thunder', 0.468, 17.0, 10.0, 0.273], 1]
[['Sacramento Kings', 0.429, 12.0, 9.0, 0.72], ['Phoenix Suns', 0.429, 15.0, 13.0, 0.846], 1]
[['Dallas Mavericks', 0.426, 21.0, 9.0, 0.789], ['Utah Jazz', 0.477, 8.0, 13.0, 0.857], 1]
[['Cleveland Cavaliers', 0.471, 13.0, 8.0, 0.667], ['Denver Nuggets', 0.476, 8.0, 6.0, 0.727], 1]
[['Portland Trail Blazers', 0.45, 16.0, 9.0, 0.8], ['Los Angeles Clippers', 0.494, 7.0, 8.0, 0.7], 0]
[['Washington Wizards', 0.429, 18.0, 8.0, 0.64], ['Indiana Pacers', 0.481, 14.0, 13.0, 0.739], 1]
[['New York Knicks', 0.407, 8.0, 12.0, 0.778], ['Atlanta Hawks', 0.476, 15.0, 13.0, 0.727], 0]
[['Minnesota Timberwolves', 0.402, 16.0, 17.0, 0.783], ['Miami Heat', 0.526, 14.0, 6.0, 0.882], 0]
[['Boston Celtics', 0.457, 8.0, 11.0, 0.6], ['Chicago Bulls', 0.519, 12.0, 7.0, 0.75], 1]
[['Golden State Warriors', 0.349, 22.0, 16.0, 0.81], ['Houston Rockets', 0.448, 26.0, 15.0, 0.647], 1]
[['Memphis Grizzlies', 0.354, 13.0, 15.0, 0.912], ['Milwaukee Bucks', 0.455, 16.0, 16.0, 0.727], 0]
[['New Orleans Pelicans', 0.45, 18.0, 17.0, 0.759], ['San Antonio Spurs', 0.471, 11.0, 6.0, 0.857], 1]
[['Orlando Magic', 0.482, 14.0, 14.0, 0.87], ['Brooklyn Nets', 0.52, 17.0, 5.0, 0.625], 0]
[['Utah Jazz', 0.387, 11.0, 18.0, 0.72], ['Detroit Pistons', 0.458, 11.0, 9.0, 0.714], 1]
[['Sacramento Kings', 0.45, 10.0, 9.0, 0.682], ['Oklahoma City Thunder', 0.462, 14.0, 11.0, 0.852], 0]
[['Philadelphia 76ers', 0.379, 17.0, 11.0, 0.667], ['Toronto Raptors', 0.566, 20.0, 4.0, 0.9], 0]
[['Miami Heat', 0.422, 13.0, 15.0, 0.708], ['Dallas Mavericks', 0.553, 13.0, 6.0, 0.6], 1]
[['Golden State Warriors', 0.43, 21.0, 9.0, 0.818], ['Phoenix Suns', 0.478, 26.0, 3.0, 0.857], 0]
[['Denver Nuggets', 0.396, 15.0, 18.0, 0.767], ['Portland Trail Blazers', 0.45, 10.0, 16.0, 0.714], 0]
[['Charlotte Hornets', 0.443, 11.0, 12.0, 0.704], ['Los Angeles Lakers', 0.512, 11.0, 8.0, 0.773], 0]
[['New Orleans Pelicans', 0.441, 5.0, 14.0, 0.85], ['Cleveland Cavaliers', 0.494, 9.0, 12.0, 0.833], 0]
[['Utah Jazz', 0.432, 11.0, 5.0, 0.762], ['Indiana Pacers', 0.433, 7.0, 13.0, 0.867], 0]
[['Atlanta Hawks', 0.38, 15.0, 9.0, 0.964], ['New York Knicks', 0.434, 15.0, 11.0, 0.583], 1]
[['Detroit Pistons', 0.425, 15.0, 9.0, 0.64], ['Chicago Bulls', 0.443, 10.0, 9.0, 0.85], 0]
[['San Antonio Spurs', 0.398, 8.0, 10.0, 0.778], ['Los Angeles Clippers', 0.446, 15.0, 8.0, 0.824], 1]
[['Orlando Magic', 0.455, 12.0, 5.0, 0.833], ['Toronto Raptors', 0.481, 16.0, 6.0, 0.625], 0]
[['Los Angeles Lakers', 0.471, 13.0, 15.0, 0.765], ['Memphis Grizzlies', 0.526, 13.0, 12.0, 0.808], 0]
[['Oklahoma City Thunder', 0.333, 15.0, 13.0, 0.737], ['Milwaukee Bucks', 0.407, 16.0, 14.0, 0.667], 0]
[['Sacramento Kings', 0.444, 20.0, 12.0, 0.781], ['Dallas Mavericks', 0.475, 11.0, 9.0, 0.833], 0]
[['Charlotte Hornets', 0.43, 12.0, 15.0, 0.875], ['Portland Trail Blazers', 0.467, 13.0, 6.0, 0.852], 0]
