[['Sacramento Kings', 0.357, 6.0, 13.0, 0.774], ['Toronto Raptors', 0.436, 9.0, 13.0, 0.742], 1]
[['Milwaukee Bucks', 0.366, 27.0, 9.0, 0.75], ['Dallas Mavericks', 0.375, 15.0, 10.0, 0.917], 0]
[['Denver Nuggets', 0.456, 11.0, 11.0, 0.81], ['Boston Celtics', 0.524, 17.0, 9.0, 0.774], 1]
[['Phoenix Suns', 0.44, 17.0, 11.0, 0.786], ['Los Angeles Lakers', 0.456, 19.0, 15.0, 0.771], 0]
[['Indiana Pacers', 0.426, 18.0, 12.0, 0.733], ['Charlotte Hornets', 0.488, 11.0, 3.0, 0.875], 0]
[['Utah Jazz', 0.403, 18.0, 9.0, 0.682], ['Philadelphia 76ers', 0.506, 10.0, 10.0, 0.6], 1]
[['Houston Rockets', 0.415, 13.0, 16.0, 0.9], ['Washington Wizards', 0.519, 18.0, 6.0, 0.833], 1]
[['Orlando Magic', 0.388, 14.0, 6.0, 0.833], ['Chicago Bulls', 0.472, 8.0, 15.0, 0.806], 0]
[['Miami Heat', 0.369, 12.0, 12.0, 0.864], ['Oklahoma City Thunder', 0.435, 16.0, 10.0, 0.824], 0]
[['New Orleans Pelicans', 0.488, 19.0, 11.0, 0.778], ['Golden State Warriors', 0.5, 15.0, 10.0, 0.833], 0]
[['Detroit Pistons', 0.366, 11.0, 11.0, 0.692], ['Los Angeles Clippers', 0.539, 10.0, 2.0, 0.864], 0]
[['Atlanta Hawks', 0.374, 6.0, 13.0, 0.84], ['Cleveland Cavaliers', 0.506, 19.0, 11.0, 0.708], 1]
[['Minnesota Timberwolves', 0.424, 16.0, 15.0, 0.714], ['Brooklyn Nets', 0.553, 20.0, 5.0, 0.885], 0]
[['Denver Nuggets', 0.5, 22.0, 6.0, 0.794], ['Memphis Grizzlies', 0.512, 14.0, 8.0, 0.684], 0]
[['Phoenix Suns', 0.5, 16.0, 15.0, 0.848], ['Portland Trail Blazers', 0.556, 20.0, 7.0, 0.714], 0]
[['Dallas Mavericks', 0.487, 16.0, 8.0, 0.786], ['Los Angeles Lakers', 0.524, 11.0, 8.0, 0.867], 1]
[['New Orleans Pelicans', 0.452, 10.0, 7.0, 0.722], ['Sacramento Kings', 0.481, 10.0, 5.0, 0.8], 0]
[['Utah Jazz', 0.463, 12.0, 10.0, 0.778], ['Charlotte Hornets', 0.463, 8.0, 5.0, 0.69], 0]
[['Philadelphia 76ers', 0.484, 17.0, 10.0, 0.474], ['Indiana Pacers', 0.544, 16.0, 7.0, 0.75], 0]
[['Brooklyn Nets', 0.418, 18.0, 7.0, 0.704], ['New York Knicks', 0.478, 14.0, 9.0, 0.706], 0]
[['Minnesota Timberwolves', 0.447, 9.0, 12.0, 0.767], ['Orlando Magic', 0.517, 6.0, 10.0, 0.769], 1]
[['Boston Celtics', 0.432, 11.0, 7.0, 0.591], ['Washington Wizards', 0.5, 11.0, 19.0, 0.8], 0]
[['Chicago Bulls', 0.451, 13.0, 8.0, 0.762], ['Atlanta Hawks', 0.506, 21.0, 13.0, 0.815], 0]
[['Toronto Raptors', 0.419, 19.0, 11.0, 0.903], ['Oklahoma City Thunder', 0.518, 11.0, 7.0, 0.682], 1]
[['Detroit Pistons', 0.36, 11.0, 9.0, 0.844], ['Phoenix Suns', 0.452, 17.0, 10.0, 0.767], 0]
[['Houston Rockets', 0.393, 10.0, 10.0, 0.867], ['San Antonio Spurs', 0.474, 19.0, 8.0, 0.773], 1]
[['Dallas Mavericks', 0.395, 7.0, 13.0, 0.75], ['Golden State Warriors', 0.581, 15.0, 5.0, 0.591], 0]
[['Portland Trail Blazers', 0.352, 14.0, 11.0, 0.857], ['Los Angeles Clippers', 0.437, 7.0, 14.0, 0.727], 0]
[['Chicago Bulls', 0.409, 13.0, 14.0, 0.667], ['Miami Heat', 0.416, 10.0, 12.0, 0.9], 1]
[['New Orleans Pelicans', 0.438, 10.0, 11.0, 0.926], ['Milwaukee Bucks', 0.44, 11.0, 11.0, 0.8], 1]
[['Golden State Warriors', 0.404, 18.0, 17.0, 0.706], ['Denver Nuggets', 0.541, 15.0, 9.0, 0.95], 1]
[['Los Angeles Lakers', 0.4, 15.0, 11.0, 0.75], ['Sacramento Kings', 0.514, 21.0, 4.0, 0.727], 1]
[['Toronto Raptors', 0.409, 11.0, 18.0, 0.75], ['Charlotte Hornets', 0.478, 5.0, 8.0, 0.955], 1]
[['Utah Jazz', 0.333, 12.0, 8.0, 0.737], ['Orlando Magic', 0.407, 15.0, 12.0, 0.875], 1]
[['Indiana Pacers', 0.419, 19.0, 13.0, 0.839], ['Philadelphia 76ers', 0.443, 13.0, 4.0, 0.957], 0]
[['Cleveland Cavaliers', 0.419, 15.0, 13.0, 0.731], ['Washington Wizards', 0.437, 15.0, 10.0, 0.789], 1]
[['New York Knicks', 0.351, 25.0, 21.0, 0.882], ['Boston Celtics', 0.389, 15.0, 19.0, 0.791], 0]
[['Los Angeles Clippers', 0.432, 16.0, 9.0, 0.842], ['Oklahoma City Thunder', 0.453, 10.0, 11.0, 0.6], 1]
