[['Los Angeles Clippers', 0.43, 10.0, 13.0, 0.667], ['Dallas Mavericks', 0.553, 13.0, 8.0, 0.767], 0]
[['Brooklyn Nets', 0.429, 11.0, 20.0, 0.824], ['Houston Rockets', 0.429, 7.0, 13.0, 0.5], 1]
[['Golden State Warriors', 0.343, 21.0, 10.0, 0.917], ['Memphis Grizzlies', 0.48, 23.0, 7.0, 0.739], 1]
[['Milwaukee Bucks', 0.494, 14.0, 14.0, 0.708], ['Denver Nuggets', 0.532, 16.0, 8.0, 0.889], 0]
[['Detroit Pistons', 0.382, 16.0, 14.0, 0.75], ['Sacramento Kings', 0.5, 18.0, 7.0, 0.75], 0]
[['San Antonio Spurs', 0.443, 9.0, 10.0, 0.609], ['Portland Trail Blazers', 0.561, 11.0, 8.0, 0.778], 1]
[['Utah Jazz', 0.382, 10.0, 11.0, 0.76], ['Miami Heat', 0.468, 15.0, 8.0, 0.64], 0]
[['Golden State Warriors', 0.494, 13.0, 15.0, 0.75], ['Minnesota Timberwolves', 0.539, 11.0, 6.0, 0.938], 1]
[['Los Angeles Clippers', 0.444, 14.0, 12.0, 0.536], ['Phoenix Suns', 0.53, 19.0, 9.0, 0.762], 0]
[['Minnesota Timberwolves', 0.477, 11.0, 12.0, 0.652], ['Indiana Pacers', 0.506, 15.0, 8.0, 0.923], 0]
[['Utah Jazz', 0.391, 17.0, 12.0, 0.739], ['Orlando Magic', 0.421, 20.0, 10.0, 0.903], 0]
[['Atlanta Hawks', 0.408, 10.0, 17.0, 0.917], ['Boston Celtics', 0.474, 16.0, 5.0, 0.75], 0]
[['Cleveland Cavaliers', 0.367, 14.0, 10.0, 0.81], ['New York Knicks', 0.423, 12.0, 12.0, 0.581], 1]
[['New Orleans Pelicans', 0.366, 14.0, 10.0, 0.7], ['Toronto Raptors', 0.442, 15.0, 13.0, 0.852], 0]
[['Charlotte Hornets', 0.379, 6.0, 9.0, 0.833], ['Chicago Bulls', 0.44, 11.0, 10.0, 0.774], 0]
[['Portland Trail Blazers', 0.419, 8.0, 14.0, 0.852], ['Memphis Grizzlies', 0.478, 22.0, 10.0, 0.897], 0]
