[[0.407, 11.846, 11.077, 0.688], [0.417, 11.692, 9.077, 0.735], [0, 1]]
[[0.442, 13.553, 9.421, 0.752], [0.456, 14.053, 10.053, 0.704], [1, 0]]
[[0.438, 12.635, 10.797, 0.744], [0.418, 16.855, 10.908, 0.687], [1, 0]]
[[0.446, 13.2, 10.55, 0.725], [0.41, 12.105, 10.947, 0.718], [1, 0]]
[[0.446, 13.646, 9.438, 0.757], [0.436, 12.896, 10.438, 0.784], [1, 0]]
[[0.457, 12.726, 10.548, 0.747], [0.434, 11.649, 11.527, 0.757], [0, 1]]
[[0.449, 13.84, 10.136, 0.766], [0.447, 13.765, 10.444, 0.723], [0, 1]]
[[0.434, 12.565, 9.884, 0.761], [0.454, 13.069, 11.306, 0.727], [0, 1]]
[[0.389, 11.4, 8.6, 0.723], [0.401, 12.091, 9.727, 0.719], [0, 1]]
[[0.422, 13.125, 6.875, 0.65], [0.407, 14.0, 8.222, 0.706], [0, 1]]
[[0.437, 16.1, 11.314, 0.739], [0.438, 13.544, 10.485, 0.721], [0, 1]]
[[0.434, 12.618, 9.868, 0.761], [0.432, 11.8, 11.657, 0.754], [0, 1]]
[[0.407, 14.222, 8.778, 0.636], [0.429, 12.111, 7.333, 0.625], [0, 1]]
[[0.427, 10.875, 12.25, 0.685], [0.422, 14.375, 9.625, 0.682], [0, 1]]
[[0.439, 16.222, 11.194, 0.74], [0.453, 13.676, 9.197, 0.728], [1, 0]]
[[0.436, 15.1, 11.471, 0.716], [0.445, 14.254, 11.225, 0.751], [0, 1]]
[[0.447, 14.1, 11.25, 0.75], [0.426, 13.458, 11.864, 0.738], [1, 0]]
[[0.443, 12.872, 10.234, 0.75], [0.459, 12.553, 9.213, 0.737], [0, 1]]
[[0.444, 12.977, 9.442, 0.744], [0.44, 12.595, 10.286, 0.745], [1, 0]]
[[0.455, 14.327, 11.345, 0.746], [0.447, 14.0, 11.179, 0.752], [1, 0]]
[[0.421, 10.474, 9.105, 0.714], [0.447, 12.812, 8.938, 0.739], [0, 1]]
[[0.397, 12.182, 11.0, 0.741], [0.385, 12.333, 9.667, 0.643], [0, 1]]
[[0.457, 13.902, 9.157, 0.718], [0.451, 13.04, 10.64, 0.74], [0, 1]]
[[0.458, 14.0, 9.213, 0.719], [0.444, 13.525, 10.0, 0.761], [0, 1]]
[[0.432, 11.095, 12.048, 0.681], [0.443, 13.083, 9.667, 0.722], [1, 0]]
[[0.452, 13.762, 9.438, 0.728], [0.434, 11.825, 11.662, 0.757], [0, 1]]
[[0.433, 11.929, 11.714, 0.765], [0.436, 13.446, 11.893, 0.719], [0, 1]]
[[0.448, 13.95, 11.175, 0.763], [0.444, 12.588, 10.562, 0.784], [1, 0]]
[[0.44, 13.372, 11.465, 0.774], [0.447, 14.395, 11.605, 0.766], [0, 1]]
[[0.423, 11.039, 9.237, 0.754], [0.438, 12.727, 9.61, 0.762], [0, 1]]
[[0.415, 17.02, 10.82, 0.682], [0.455, 12.765, 10.98, 0.718], [0, 1]]
[[0.443, 12.527, 10.582, 0.743], [0.432, 12.945, 10.727, 0.784], [1, 0]]
[[0.417, 13.846, 8.769, 0.681], [0.402, 11.167, 10.167, 0.625], [1, 0]]
[[0.429, 15.455, 12.045, 0.674], [0.45, 13.05, 7.95, 0.684], [1, 0]]
[[0.432, 13.395, 9.974, 0.72], [0.434, 13.289, 11.289, 0.694], [0, 1]]
[[0.432, 10.676, 9.081, 0.727], [0.444, 13.97, 11.061, 0.77], [1, 0]]
[[0.435, 15.277, 11.569, 0.719], [0.435, 12.825, 10.667, 0.782], [0, 1]]
