[['Los Angeles Clippers', 0.345, 19.0, 15.0, 0.758], ['Golden State Warriors', 0.579, 16.0, 7.0, 0.75], 1]
[['Memphis Grizzlies', 0.456, 11.0, 13.0, 0.759], ['Los Angeles Lakers', 0.505, 8.0, 18.0, 0.818], 0]
[['San Antonio Spurs', 0.38, 9.0, 9.0, 0.769], ['Portland Trail Blazers', 0.432, 12.0, 11.0, 0.9], 0]
[['Denver Nuggets', 0.41, 10.0, 10.0, 0.829], ['Atlanta Hawks', 0.517, 8.0, 8.0, 0.9], 0]
[['Boston Celtics', 0.431, 23.0, 9.0, 0.643], ['New Jersey Nets', 0.449, 12.0, 3.0, 0.793], 1]
[['Charlotte Bobcats', 0.395, 17.0, 16.0, 0.714], ['Chicago Bulls', 0.5, 21.0, 15.0, 0.591], 0]
[['Toronto Raptors', 0.439, 14.0, 12.0, 0.778], ['Dallas Mavericks', 0.624, 9.0, 6.0, 0.619], 0]
[['New York Knicks', 0.413, 17.0, 6.0, 0.765], ['Milwaukee Bucks', 0.466, 19.0, 15.0, 0.75], 0]
[['Sacramento Kings', 0.487, 12.0, 8.0, 0.769], ['Utah Jazz', 0.493, 10.0, 5.0, 0.844], 1]
[['Memphis Grizzlies', 0.461, 17.0, 15.0, 0.813], ['Los Angeles Clippers', 0.5, 12.0, 9.0, 0.697], 0]
[['Philadelphia 76ers', 0.436, 16.0, 14.0, 0.625], ['Detroit Pistons', 0.444, 15.0, 21.0, 0.619], 0]
[['Phoenix Suns', 0.391, 17.0, 14.0, 0.667], ['Washington Wizards', 0.477, 20.0, 13.0, 0.429], 1]
[['Orlando Magic', 0.368, 15.0, 9.0, 0.618], ['Oklahoma City Thunder', 0.571, 15.0, 4.0, 0.867], 0]
[['Minnesota Timberwolves', 0.446, 15.0, 10.0, 0.571], ['Portland Trail Blazers', 0.5, 13.0, 12.0, 0.9], 0]
[['Golden State Warriors', 0.494, 14.0, 15.0, 0.763], ['Sacramento Kings', 0.506, 14.0, 7.0, 0.607], 0]
[['New Orleans Hornets', 0.365, 12.0, 15.0, 0.826], ['Los Angeles Lakers', 0.469, 12.0, 8.0, 0.889], 0]
[['Phoenix Suns', 0.532, 12.0, 6.0, 0.759], ['Philadelphia 76ers', 0.537, 11.0, 10.0, 0.815], 1]
[['Utah Jazz', 0.432, 10.0, 7.0, 0.652], ['New York Knicks', 0.457, 19.0, 12.0, 0.65], 1]
[['Toronto Raptors', 0.483, 6.0, 16.0, 0.75], ['San Antonio Spurs', 0.592, 11.0, 5.0, 0.793], 0]
[['Minnesota Timberwolves', 0.447, 28.0, 21.0, 0.8], ['Golden State Warriors', 0.571, 12.0, 11.0, 0.789], 0]
[['New Orleans Hornets', 0.43, 17.0, 11.0, 0.55], ['Los Angeles Clippers', 0.5, 14.0, 11.0, 0.8], 1]
[['Orlando Magic', 0.442, 16.0, 9.0, 0.786], ['Charlotte Bobcats', 0.469, 14.0, 9.0, 0.571], 1]
[['Washington Wizards', 0.403, 22.0, 9.0, 0.667], ['Miami Heat', 0.446, 12.0, 8.0, 0.769], 0]
[['Denver Nuggets', 0.417, 18.0, 15.0, 0.789], ['Chicago Bulls', 0.437, 13.0, 15.0, 0.692], 1]
[['Portland Trail Blazers', 0.372, 12.0, 13.0, 0.714], ['Memphis Grizzlies', 0.457, 15.0, 9.0, 0.87], 1]
