[['Minnesota Timberwolves', 0.388, 11.0, 13.0, 0.733], ['Chicago Bulls', 0.425, 14.0, 14.0, 0.813], 0]
[['Detroit Pistons', 0.4, 16.0, 11.0, 0.688], ['Houston Rockets', 0.402, 14.0, 8.0, 0.808], 0]
[['Boston Celtics', 0.398, 11.0, 16.0, 0.731], ['Milwaukee Bucks', 0.444, 14.0, 7.0, 0.794], 1]
[['Phoenix Suns', 0.368, 10.0, 10.0, 0.765], ['Utah Jazz', 0.487, 18.0, 10.0, 0.667], 0]
[['San Antonio Spurs', 0.472, 15.0, 12.0, 0.789], ['Portland Trail Blazers', 0.571, 21.0, 6.0, 0.806], 1]
[['Denver Nuggets', 0.381, 15.0, 23.0, 0.593], ['Golden State Warriors', 0.382, 14.0, 13.0, 0.609], 1]
[['Orlando Magic', 0.357, 11.0, 11.0, 0.722], ['Brooklyn Nets', 0.372, 15.0, 12.0, 0.68], 0]
[['Atlanta Hawks', 0.417, 22.0, 10.0, 0.438], ['Los Angeles Clippers', 0.463, 13.0, 8.0, 1.0], 0]
[['Miami Heat', 0.38, 13.0, 15.0, 0.611], ['Memphis Grizzlies', 0.442, 14.0, 11.0, 0.875], 0]
[['Cleveland Cavaliers', 0.41, 12.0, 10.0, 0.696], ['Oklahoma City Thunder', 0.548, 21.0, 4.0, 0.864], 0]
[['Sacramento Kings', 0.4, 11.0, 14.0, 0.786], ['Los Angeles Lakers', 0.444, 17.0, 18.0, 0.767], 0]
[['Milwaukee Bucks', 0.435, 15.0, 4.0, 0.75], ['Philadelphia 76ers', 0.513, 23.0, 6.0, 0.889], 1]
[['Utah Jazz', 0.472, 17.0, 20.0, 0.767], ['Toronto Raptors', 0.495, 18.0, 11.0, 0.791], 1]
[['Oklahoma City Thunder', 0.37, 14.0, 9.0, 0.881], ['Detroit Pistons', 0.398, 11.0, 13.0, 0.667], 1]
[['Boston Celtics', 0.459, 13.0, 8.0, 0.774], ['Chicago Bulls', 0.506, 8.0, 6.0, 1.0], 1]
[['Miami Heat', 0.45, 11.0, 11.0, 0.788], ['Houston Rockets', 0.506, 11.0, 13.0, 0.65], 1]
[['Minnesota Timberwolves', 0.363, 8.0, 7.0, 0.8], ['Dallas Mavericks', 0.462, 17.0, 7.0, 0.813], 1]
[['Denver Nuggets', 0.457, 6.0, 15.0, 0.81], ['Phoenix Suns', 0.539, 15.0, 9.0, 0.611], 0]
[['Atlanta Hawks', 0.361, 20.0, 16.0, 0.808], ['Portland Trail Blazers', 0.443, 16.0, 6.0, 0.818], 1]
[['Washington Wizards', 0.298, 17.0, 18.0, 0.656], ['Charlotte Bobcats', 0.397, 12.0, 13.0, 0.844], 0]
[['Toronto Raptors', 0.32, 12.0, 14.0, 0.76], ['Indiana Pacers', 0.361, 12.0, 8.0, 0.842], 1]
[['New York Knicks', 0.488, 9.0, 6.0, 0.727], ['Orlando Magic', 0.493, 20.0, 9.0, 0.588], 1]
[['Cleveland Cavaliers', 0.437, 12.0, 16.0, 0.846], ['Brooklyn Nets', 0.545, 13.0, 12.0, 0.806], 0]
[['Portland Trail Blazers', 0.468, 13.0, 10.0, 0.684], ['Sacramento Kings', 0.486, 15.0, 11.0, 0.864], 1]
[['San Antonio Spurs', 0.389, 8.0, 11.0, 0.636], ['Los Angeles Lakers', 0.419, 17.0, 13.0, 0.636], 1]
[['Detroit Pistons', 0.298, 4.0, 11.0, 0.656], ['Philadelphia 76ers', 0.479, 17.0, 12.0, 0.677], 1]
[['Utah Jazz', 0.402, 12.0, 18.0, 0.714], ['Boston Celtics', 0.5, 9.0, 4.0, 0.759], 0]
[['New Orleans Hornets', 0.405, 10.0, 9.0, 0.952], ['Houston Rockets', 0.45, 11.0, 7.0, 0.818], 0]
[['Indiana Pacers', 0.375, 19.0, 16.0, 0.645], ['Milwaukee Bucks', 0.418, 6.0, 14.0, 0.8], 0]
[['Charlotte Bobcats', 0.383, 17.0, 19.0, 0.541], ['Minnesota Timberwolves', 0.452, 15.0, 9.0, 0.643], 1]
[['Memphis Grizzlies', 0.473, 8.0, 12.0, 0.857], ['Oklahoma City Thunder', 0.486, 15.0, 10.0, 0.808], 1]
[['Washington Wizards', 0.481, 16.0, 9.0, 0.909], ['Dallas Mavericks', 0.5, 13.0, 14.0, 0.788], 0]
[['Chicago Bulls', 0.4, 12.0, 20.0, 0.941], ['Phoenix Suns', 0.5, 15.0, 15.0, 0.72], 1]
[['Atlanta Hawks', 0.436, 12.0, 5.0, 0.722], ['Golden State Warriors', 0.465, 23.0, 10.0, 0.84], 0]
[['Miami Heat', 0.455, 19.0, 11.0, 0.724], ['Los Angeles Clippers', 0.486, 18.0, 9.0, 0.844], 0]
[['Boston Celtics', 0.424, 11.0, 18.0, 0.786], ['Brooklyn Nets', 0.467, 13.0, 12.0, 0.8], 0]
[['New York Knicks', 0.437, 10.0, 13.0, 0.762], ['San Antonio Spurs', 0.453, 7.0, 10.0, 0.652], 1]
[['Miami Heat', 0.42, 13.0, 21.0, 0.684], ['Denver Nuggets', 0.468, 11.0, 5.0, 0.813], 1]
[['Dallas Mavericks', 0.37, 11.0, 8.0, 0.84], ['Indiana Pacers', 0.47, 8.0, 10.0, 0.613], 0]
[['Utah Jazz', 0.444, 11.0, 10.0, 0.778], ['Philadelphia 76ers', 0.46, 10.0, 11.0, 0.9], 0]
[['Orlando Magic', 0.494, 14.0, 14.0, 0.882], ['Detroit Pistons', 0.537, 14.0, 6.0, 0.8], 1]
[['Golden State Warriors', 0.43, 12.0, 11.0, 0.793], ['Minnesota Timberwolves', 0.506, 15.0, 17.0, 0.692], 1]
[['Oklahoma City Thunder', 0.423, 11.0, 15.0, 0.786], ['New Orleans Hornets', 0.541, 13.0, 7.0, 0.8], 1]
[['New York Knicks', 0.487, 14.0, 12.0, 0.813], ['Memphis Grizzlies', 0.514, 13.0, 10.0, 0.762], 0]
[['Houston Rockets', 0.466, 18.0, 16.0, 0.839], ['Portland Trail Blazers', 0.512, 15.0, 10.0, 0.724], 0]
[['Atlanta Hawks', 0.459, 14.0, 10.0, 0.714], ['Sacramento Kings', 0.553, 15.0, 10.0, 0.741], 1]
[['Phoenix Suns', 0.472, 11.0, 17.0, 0.786], ['Los Angeles Lakers', 0.489, 15.0, 12.0, 0.467], 0]
[['Toronto Raptors', 0.429, 15.0, 9.0, 0.677], ['Boston Celtics', 0.566, 13.0, 7.0, 0.789], 0]
[['Utah Jazz', 0.365, 15.0, 16.0, 0.75], ['Washington Wizards', 0.378, 17.0, 26.0, 0.704], 1]
[['Memphis Grizzlies', 0.376, 16.0, 15.0, 0.679], ['Charlotte Bobcats', 0.388, 14.0, 12.0, 0.882], 1]
[['Dallas Mavericks', 0.375, 11.0, 13.0, 0.75], ['Cleveland Cavaliers', 0.514, 20.0, 8.0, 0.85], 1]
[['New Orleans Hornets', 0.462, 11.0, 16.0, 0.75], ['Milwaukee Bucks', 0.532, 19.0, 8.0, 0.955], 0]
[['Denver Nuggets', 0.5, 21.0, 12.0, 0.692], ['San Antonio Spurs', 0.534, 14.0, 14.0, 0.8], 0]
[['Chicago Bulls', 0.337, 15.0, 21.0, 0.818], ['Los Angeles Clippers', 0.493, 12.0, 10.0, 0.733], 0]
[['Miami Heat', 0.43, 16.0, 9.0, 0.714], ['Phoenix Suns', 0.535, 19.0, 4.0, 0.684], 1]
[['Indiana Pacers', 0.367, 8.0, 15.0, 0.789], ['New York Knicks', 0.394, 19.0, 9.0, 0.667], 0]
[['Orlando Magic', 0.4, 15.0, 8.0, 0.857], ['Toronto Raptors', 0.475, 10.0, 10.0, 0.609], 0]
[['Cleveland Cavaliers', 0.357, 15.0, 18.0, 0.933], ['Philadelphia 76ers', 0.425, 11.0, 9.0, 0.75], 0]
[['Brooklyn Nets', 0.463, 17.0, 15.0, 0.526], ['Sacramento Kings', 0.48, 10.0, 7.0, 0.88], 1]
[['Golden State Warriors', 0.506, 10.0, 10.0, 0.846], ['Oklahoma City Thunder', 0.524, 13.0, 8.0, 0.818], 0]
[['Boston Celtics', 0.451, 17.0, 7.0, 0.789], ['Detroit Pistons', 0.542, 16.0, 7.0, 0.808], 0]
[['Chicago Bulls', 0.493, 19.0, 6.0, 0.889], ['Portland Trail Blazers', 0.494, 16.0, 10.0, 0.75], 0]
[['Houston Rockets', 0.489, 15.0, 11.0, 0.611], ['Los Angeles Lakers', 0.541, 13.0, 9.0, 0.643], 0]
[['Milwaukee Bucks', 0.439, 16.0, 11.0, 0.9], ['Charlotte Bobcats', 0.473, 14.0, 9.0, 0.727], 0]
[['Indiana Pacers', 0.356, 10.0, 14.0, 0.742], ['Washington Wizards', 0.486, 20.0, 8.0, 0.862], 1]
[['Orlando Magic', 0.378, 19.0, 11.0, 0.571], ['Atlanta Hawks', 0.382, 13.0, 11.0, 0.615], 0]
[['Denver Nuggets', 0.444, 17.0, 21.0, 0.714], ['Memphis Grizzlies', 0.462, 17.0, 12.0, 0.824], 1]
[['Golden State Warriors', 0.407, 20.0, 19.0, 0.733], ['Dallas Mavericks', 0.43, 16.0, 7.0, 0.708], 1]
[['Los Angeles Clippers', 0.354, 13.0, 13.0, 0.821], ['San Antonio Spurs', 0.471, 17.0, 17.0, 0.579], 1]
[['Houston Rockets', 0.349, 14.0, 15.0, 0.774], ['Utah Jazz', 0.402, 14.0, 14.0, 0.826], 0]
[['Toronto Raptors', 0.451, 11.0, 12.0, 0.69], ['Philadelphia 76ers', 0.471, 8.0, 9.0, 0.895], 0]
[['New York Knicks', 0.42, 13.0, 5.0, 0.667], ['New Orleans Hornets', 0.446, 10.0, 13.0, 0.737], 1]
[['Brooklyn Nets', 0.415, 13.0, 14.0, 0.714], ['Los Angeles Lakers', 0.479, 11.0, 8.0, 0.514], 0]
[['Toronto Raptors', 0.419, 12.0, 9.0, 0.821], ['Charlotte Bobcats', 0.463, 14.0, 9.0, 0.7], 0]
[['Philadelphia 76ers', 0.36, 7.0, 11.0, 0.773], ['Cleveland Cavaliers', 0.407, 16.0, 15.0, 0.643], 0]
[['New Orleans Hornets', 0.424, 9.0, 16.0, 0.852], ['Indiana Pacers', 0.435, 8.0, 17.0, 0.714], 0]
[['Detroit Pistons', 0.329, 14.0, 13.0, 0.682], ['Orlando Magic', 0.434, 14.0, 9.0, 0.722], 0]
[['Washington Wizards', 0.427, 20.0, 19.0, 0.708], ['Atlanta Hawks', 0.435, 13.0, 10.0, 0.571], 0]
[['San Antonio Spurs', 0.532, 12.0, 1.0, 0.882], ['Boston Celtics', 0.584, 17.0, 6.0, 0.737], 1]
[['Milwaukee Bucks', 0.422, 11.0, 16.0, 0.75], ['Miami Heat', 0.477, 15.0, 12.0, 0.697], 0]
[['Los Angeles Clippers', 0.43, 14.0, 17.0, 0.727], ['Oklahoma City Thunder', 0.456, 19.0, 12.0, 0.872], 0]
